State,Year,CVD_Death,Death_LL,Death_UL,CVD_Prevalence,Prev_LL,Prev_UL,CVD_Incidence,Inci_LL,Inci_UL
Madhya Pradesh,2015,129125.810890556,113763.213891956,143309.934410831,3377143.86448333,3142939.83980031,3621967.02494373,423688.781472544,392900.326361062,455312.395619571
Madhya Pradesh,2016,131833.361924356,114719.205666889,148147.600753602,3490194.07145157,3256600.42748037,3751686.73639663,436130.574868411,404093.738415496,469069.710352639
Madhya Pradesh,2017,134793.43220208,115971.702429064,154281.777202874,3598422.36331435,3344262.52311469,3857422.05256193,448933.93342355,414519.976613937,485045.09683239
Madhya Pradesh,2018,140699.884670879,117538.335184876,163985.382685835,3705273.84651007,3442276.0424597,3977640.81646889,463703.478777225,427647.400331032,499722.196520086
Madhya Pradesh,2019,144634.955880747,120912.227564919,169870.967187072,3801239.66814391,3524053.14705407,4086954.50636173,477932.426816555,440806.128797307,515050.07066463
Maharashtra,2011,210691.824461275,191353.732633003,229635.286159742,5632255.3544283,5228719.2875012,6055064.87158853,693002.676190721,638120.319955441,753226.813858827
Maharashtra,2012,218395.733970099,198069.837669087,236858.856458864,5856481.67621089,5458711.37197539,6265644.60804078,718989.001876414,665172.528697719,779598.729973311
Maharashtra,2013,219788.039132904,199305.167683995,238646.598293694,6086388.69951899,5679310.06969751,6522027.76483865,746718.258856927,691043.589374997,805999.363820516
Maharashtra,2014,218858.763732461,200010.620259541,237845.962917607,6318952.19464297,5899049.82815967,6767363.00191533,774814.608670479,718261.247559682,836859.906063353
Maharashtra,2015,232198.683619185,211528.277550254,252825.118638176,6542678.20828666,6109028.49835132,7008125.62691418,801158.677878591,743179.167022721,864523.159555597
Maharashtra,2016,252337.400333426,224193.214931802,278118.093223564,6758874.43657625,6316696.78945983,7231117.61474722,821681.859428328,759944.083223825,887099.512691481
Maharashtra,2017,261301.097781783,227172.956719866,296621.861791638,6958575.55090304,6473878.15071592,7454808.76092813,841787.005450081,775613.957036639,912763.094551379
Maharashtra,2018,266706.219778706,227453.045388334,309569.489714942,7142537.11424212,6658926.24040537,7639593.1105425,866598.354692938,799378.595399965,938338.641794023
Maharashtra,2019,276151.824891304,225085.727951342,327818.060769963,7311277.27546407,6818453.53760454,7807487.84152759,891281.626118138,820375.028654621,962098.470238646
Manipur,2011,3780.1099614769,3066.53903655785,4419.74031235554,118567.077626136,110373.05827595,126719.939803636,14483.8114087432,13323.9399446959,15695.3777463314
Manipur,2012,3954.50561472193,3251.08305522151,4637.49409958721,124289.005186121,115772.092742643,132713.50051288,15145.3580405235,13924.6704795206,16425.0807695712
Manipur,2013,4138.1477066754,3382.55685935087,4918.11629870107,130099.650753958,121196.912362467,138757.776056206,15827.0637643154,14545.6281251911,17194.8955824667
Manipur,2014,4243.78587672554,3455.18249324084,4993.92163726451,135862.031538622,127017.144790694,145369.519005027,16511.992920477802,15171.2980550765,17946.0017635357
Manipur,2015,4365.11405195155,3535.22484990485,5122.01422791075,141518.909337505,132152.229081463,151195.265342786,17189.146354099,15788.1356228798,18702.8084776699
Manipur,2016,4490.30149146487,3711.03276980139,5269.56538469278,147302.163785973,137624.654934675,157346.912543764,17803.9367474739,16361.1666942507,19379.7493367256
Manipur,2017,4625.36307638152,3795.1215037304,5502.92297487278,153144.967078149,142920.558916138,163937.018913127,18435.2666251508,16937.9688011716,20044.2589698961
Manipur,2018,4876.27297303508,3935.84456894588,5830.22542437959,158730.697344989,148042.367621058,169641.203128981,19178.7198714406,17597.3156867657,20854.5293202267
Manipur,2019,5058.38281372231,4028.16856813804,6042.58623943445,163826.035009948,152866.647405943,175142.659552535,19937.4507146745,18300.2715881576,21714.1226218212
Meghalaya,2011,2139.200825436,1808.12291110853,2651.53431241941,92557.6305599402,85606.4782943658,100200.458038352,11066.1250668727,10108.4529851641,12065.6406864825
Meghalaya,2012,2253.56277939286,1893.85925291328,2743.79153587705,96651.6708667187,89436.0808065938,103997.705014783,11513.86626078,10534.7646017895,12554.3462958822
Meghalaya,2013,2326.09050087194,1968.28979168625,2906.69209917165,100789.60692619,93507.4183532676,108462.234313995,11970.0934384248,10959.2329761591,13054.1903519088
Meghalaya,2014,2353.36524601465,1991.13932968064,2827.20447274606,104883.483036697,97203.9786059639,112607.895810349,12422.3703729525,11388.0593033881,13546.20201438
Meghalaya,2015,2378.89110689905,1994.86888688047,2918.85559158399,108807.368296637,100638.333667634,117015.974194997,12862.6684779385,11770.6256453134,14030.4614778567
Meghalaya,2016,2478.21524645495,2060.01991466917,3070.046486713,112587.898323974,104467.724330225,120926.972224364,13278.5320240003,12175.690618369,14444.3052970428
Meghalaya,2017,2586.53893478634,2169.95452364694,3149.30872214374,116252.247038785,107493.107829379,125269.865217022,13698.7460967057,12534.2280345521,14935.8522657078
Meghalaya,2018,2726.84500262927,2233.50931760657,3472.88263068616,119671.668999829,110956.059485806,129056.698248604,14137.392017285,12990.0311753219,15425.8408383379
Meghalaya,2019,2841.73883339795,2327.17114262935,3547.1662343932,122593.858531021,113630.27496957,131798.904482462,14546.6054636358,13365.8863659803,15818.5973248299
Mizoram,2011,549.863397151072,429.736140528478,946.214645556313,34601.5183478714,32129.5090890004,37040.9010286957,4150.07918469446,3785.30400457335,4541.49185405215
Mizoram,2012,573.479096840472,447.154895091382,1049.03322471365,36116.0773334826,33615.7740051437,38600.2395844563,4317.13928266609,3938.0256329287,4725.9842021011
Mizoram,2013,584.985911293933,459.296675703307,1039.01225404972,37680.2831518294,35231.7493423298,40236.5231196842,4489.35822193917,4094.11054633808,4914.6691934275
Mizoram,2014,586.26057184713,455.850968337073,1124.46914004627,39225.4307463782,36692.549484812604,41826.6684280887,4663.94546363733,4252.7500205732,5111.20300088813
Mizoram,2015,590.824325600172,458.138715265615,1022.45662747154,40735.0284771236,38132.7076188678,43375.0647669628,4839.865894599,4411.21898035903,5306.51230495239
Mizoram,2016,633.229745446702,494.791305636663,1164.29979467465,42198.1657573422,39391.4834852772,45033.6312354574,5010.21756084528,4568.08116810695,5476.07150575041
Mizoram,2017,653.900657414152,508.036004526025,1153.0797758997,43659.8913820998,40646.5706746334,46680.2691658142,5191.68366276093,4729.98810237161,5675.94447011522
Mizoram,2018,687.624449781684,528.967363995434,1261.03826584868,45224.8578469159,42135.5910190897,48386.1104760493,5393.96770679217,4921.15458673616,5890.41948917966
Mizoram,2019,714.349349901677,538.367733666387,1256.09693423065,46777.0520903955,43601.5165525027,50114.7669146937,5596.52888261347,5108.9572645905,6125.47004096716
Nagaland,2011,2102.78436800667,1706.91576819327,2569.44878254157,69128.2554519218,64502.5009298604,73981.0027226517,8370.82944314434,7690.67747270118,9101.27415809485
Nagaland,2012,2174.64508144213,1788.86015461117,2587.13720888307,70454.550864334,65863.1931128991,75109.6697536785,8516.44188597304,7832.89365898505,9249.12212542758
