State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95
Odisha,2021,76975.9277524078,73071.72294286844,80880.13256194718,71004.96176032661,82946.893744489
Odisha,2022,76975.9277524078,72194.27293506208,81757.58256975353,69663.01777635276,84288.83772846285
Odisha,2023,76975.9277524078,71454.54836047496,82497.30714434065,68531.70666593805,85420.14883887756
Odisha,2024,76975.9277524078,70802.83792744366,83149.01757737195,67535.00156921605,86416.85393559956
Odisha,2025,76975.9277524078,70213.64665913084,83738.20884568477,66633.91128385726,87317.94422095835
Odisha,2026,76975.9277524078,69671.82936986213,84280.02613495348,65805.2732471845,88146.58225763112
Odisha,2027,76975.9277524078,69167.51813332907,84784.33737148654,65033.99576824541,88917.8597365702
Odisha,2028,76975.9277524078,68693.85866450853,85257.99684030708,64309.59612270318,89642.25938211243
Odisha,2029,76975.9277524078,68245.86040019615,85705.99510461946,63624.44190277478,90327.41360204083
Odisha,2030,76975.9277524078,67819.75586828685,86132.09963652876,62972.77125709411,90979.0842477215
Punjab,2020,91226.22890572307,89276.07145743261,93176.38635401352,88243.7204639285,94208.73734751763
Punjab,2021,93642.85641429383,90884.91730215856,96400.7955264291,89424.95252601571,97860.76030257194
Punjab,2022,96059.48392286457,92681.71213966663,99437.25570606251,90893.6277676733,101225.34007805584
Punjab,2023,98476.11143143533,94575.79653485444,102376.42632801623,92511.09454784621,104441.12831502446
Punjab,2024,100892.7389400061,96532.05431880112,105253.42356121106,94223.64732068648,107561.83055932571
Punjab,2025,103309.36644857685,98532.47578217718,108086.25711497653,96003.74261263682,110614.99028451688
Punjab,2026,105725.99395714761,100566.36233155079,110885.62558274444,97835.01833700843,113616.9695772868
Punjab,2027,108142.62146571836,102626.74324144784,113658.49968998888,99706.81368916211,116578.42924227461
Punjab,2028,110559.24897428912,104708.77662941777,116409.72131916047,101611.72364890542,119506.77429967282
Punjab,2029,112975.87648285987,106808.93715032001,119142.81581539972,103544.3566661093,122407.39629961042
Punjab,2030,115392.50399143063,108924.5634533343,121860.44452952695,105500.64255593052,125284.36542693073
Rajasthan,2020,104681.91259911422,101881.41875682818,107482.40644140026,100398.92686730379,108964.89833092465
Rajasthan,2021,108766.86842588344,104806.37205278018,112727.3647989867,102709.81191650667,114823.9249352602
Rajasthan,2022,112851.82425265264,108001.22663152943,117702.42187377586,105433.47535706441,120270.17314824088
Rajasthan,2023,116936.78007942188,111335.79239484978,122537.76776399398,108370.80861580101,125502.75154304274
Rajasthan,2024,121021.73590619108,114759.6413042699,127283.83050811227,111444.68866320128,130598.78314918089
Rajasthan,2025,125106.6917329603,118246.91079155318,131966.47267436743,114615.56211440395,135597.82135151667
Rajasthan,2026,129191.64755972952,121782.23730487289,136601.05781458615,117859.93244452114,140523.3626749379
Rajasthan,2027,133276.60338649875,125355.61064029222,141197.59613270528,121162.49036774522,145390.7164052523
Rajasthan,2028,137361.55921326796,128960.07768640982,145763.0407401261,124512.60201783666,150210.51640869924
Rajasthan,2029,141446.51504003716,132590.5759251369,150302.45415493744,127902.52494151311,154990.50513856122
Rajasthan,2030,145531.4708668064,136243.28356424285,154819.65816936994,131326.41421194546,159736.52752166733
Sikkim,2020,797.6431452757504,784.4353289324241,810.8509616190767,777.4435333027915,817.8427572487093
Sikkim,2021,814.1448663157618,795.4661933136967,832.8235393178268,785.5783011089294,842.7114315225941
Sikkim,2022,830.6465873557731,807.7699783920935,853.5231963194527,795.6598331254318,865.6333415861145
Sikkim,2023,847.1483083957846,820.7326757091322,873.563941082437,806.7490844498668,887.5475323417024
Sikkim,2024,863.6500294357959,834.1164542577858,893.183604613806,818.4823239451412,908.8177349264506
Sikkim,2025,880.1517504758074,847.7993398182657,912.504161133349,830.6730081398443,929.6304928117704
Sikkim,2026,896.6534715158188,861.708874109163,931.5980689224745,843.2103216553668,950.0966213762707
